id	name	doc	is_pii	langs	contexts	translations.ru.name	translations.ru.doc	links.url	links.type
address	Address (physical location)	Geographic address, commonly consist of postindex, country, area, town, street and building	True	ru,common	common,pii,geo	Адрес (физическое местонахождение)	Географический или административный адрес местонахождения. Может включать почтовый индекс, название страны, региона, города, улицы и здания.	https://en.wikipedia.org/wiki/Address	wikipedia
atccode	Anatomical Therapeutic Chemical (ATC) Classification System	The Anatomical Therapeutic Chemical (ATC) Classification System is a drug classification system that classifies the active ingredients of drugs according to the organ or system on which they act and their therapeutic, pharmacological and chemical properties. Its purpose is an aid to monitor drug use and for research to improve quality medication use. It does not imply drug recommendation or efficacy.	False	ru	medical	Анатомо-терапевтическо-химическая классификация (АТХ)	Анатомо-терапевтическо-химическая классификация — международная система классификации лекарственных средств.	https://en.wikipedia.org/wiki/Anatomical_Therapeutic_Chemical_Classification_System	wikipedia
bankaccount	Bank account	A bank account is a financial account maintained by a bank or other financial institution in which the financial transactions between the bank and a customer are recorded.	False	ru	finances	Банковский счет	Банковский счёт — счёт, открываемый банком юридическим или физическим лицам для их участия в безналичном денежном обороте и аккумулировании на счёте безналичных денежных средств для целевого использования.	https://en.wikipedia.org/wiki/Bank_account	wikipedia
bankcard	Bank card (credit/debit card)	A bank card is typically a plastic card issued by a bank to its clients that performs one or more of a number of services that relate to giving the client access to bank account.	True	common	pii	Банковская карта	Ба́нковская ка́рта (англ. bank card) — пластиковая, металлическая или виртуальная карта, обычно привязанная к одному или нескольким расчётным счетам в банке.	https://en.wikipedia.org/wiki/Bank_card	wikipedia
bik	Russian bank identification code (BIK)	Russian bank identification code used as unique identifier of a credit organization (bank) and issued by Bank of Russia	False	ru	finances	Банковский идентификационный код	Банковский идентификационный код, БИК — уникальный идентификатор банка, используемый в платежных документах (платёжное поручение, аккредитив) на территории России. Классификатор БИКов ведёт Центробанк РФ (Банк России).	https://ru.wikipedia.org/wiki/Банковский_идентификационный_код	wikipedia
birthday	Birthday	A birthday is the anniversary of the birth of a person, or figuratively of an institution. Birthdays of people are celebrated in numerous cultures, often with birthday gifts, birthday cards, a birthday party, or a rite of passage.	True	common,ru	pii,datetime	День рождения	День рождения — годовщина рождения, соответствует дате рождения человека. 	https://en.wikipedia.org/wiki/Birthday	wikipedia
boolean	Boolean	In computer science, the Boolean data type is a data type that has one of two possible values (usually denoted true and false) which is intended to represent the two truth values of logic and Boolean algebra.	False	common,ru	common	Логический тип	Логи́ческий тип да́нных, или булев тип, или булевый тип (от англ. Boolean или logical data type) — примитивный тип данных в информатике, принимающий два возможных значения, иногда называемых истиной (true) и ложью (false).	https://en.wikipedia.org/wiki/Boolean_data_type	wikipedia
budgetcode	Russian government budget code	Budget codes issued by Ministry of Finances and Federal Treasury of Russia to all government and local budgets.	False	ru	government	Код бюджета	Уникальный код, присваеваемый каждому отдельному бюджету: федеральному, субъекта федерации и муниципалитету в Российской Федерации.		
budgetname	Russian government budget name	Name of the budget of Russian government at federal, regional or local level	False	ru	government	Наименование бюджета	Название бюджета по справочнику наименований и кодов бюджета ведомом Минфином России и Федеральным казначейством.		
city	City	A city is a large human settlement. It can be defined as a permanent and densely settled place with administratively defined boundaries whose members work primarily on non-agricultural tasks.	True	common,ru	geo,pii,common	Город	Го́род — крупный населённый пункт, жители которого заняты, как правило, не сельским хозяйством.	https://en.wikipedia.org/wiki/City	wikipedia
country	Country name	A country is a distinct territorial body or political entity. It may be an independent sovereign state or part of a larger state,[2] as a non-sovereign or formerly sovereign political division, a physical territory with a government, or a geographic region associated with sets of previously independent or differently associated peoples with distinct political characteristics.	False	common	geo	Название страны	Страна — территория, имеющая политические, физико-географические, культурные или исторические границы, которые могут быть как чётко определёнными и зафиксированными, так и размытыми (в таком случае нередко говорят не о границах, а о «рубежах»).	https://en.wikipedia.org/wiki/Country	wikipedia
countrycode_alpha2	ISO 3166-1 Alpha2 country code	ISO 3166-1 alpha-2 codes are two-letter country codes defined in ISO 3166-1, part of the ISO 3166 standard published by the International Organization for Standardization (ISO), to represent countries, dependent territories, and special areas of geographical interest.	False	common	geo	ISO 3166-1 alpha-2	ISO 3166-1 alpha-2 — система двухбуквенных кодов стран, определённая в ISO 3166-1, части стандарта ISO 3166, опубликованного Международной организацией по стандартизации (ISO) для обозначения стран, зависимых территорий и особых географических областей.	https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2	wikipedia
countrycode_alpha3	ISO 3166-1 alpha-3 country code	ISO 3166-1 alpha-3 codes are three-letter country codes defined in ISO 3166-1, part of the ISO 3166 standard published by the International Organization for Standardization (ISO), to represent countries, dependent territories, and special areas of geographical interest.	False	common	geo	ISO 3166-1 alpha-3	ISO 3166-1 alpha-3 — система трехбуквенных кодов стран, определённая в ISO 3166-1, части стандарта ISO 3166, опубликованного Международной организацией по стандартизации (ISO) для обозначения стран, зависимых территорий и особых географических областей.	https://en.wikipedia.org/wiki/ISO_3166-1_alpha-3	wikipedia
csrcode	Russian budget target item of expenditure code	Russian budget target item of expenditure code	False	ru	government	Целевая статья расходов российского бюджета	Целевая статья расходов российского бюджета		
date	Date	Date with one of known notations	True	common,ru	datetime	Дата	Дата в одной из общепринятых нотаций	https://en.wikipedia.org/wiki/Date_and_time_notation	wikipedia
datetime	Date and time	Date and time with one of known notations	True	common,ru	datetime	Дата и время	Дата и время в одной из общепринятых нотаций	https://en.wikipedia.org/wiki/Date_and_time_notation	wikipedia
dayofmonth	Day of month	Month day, numeric value from 1 to 31	True	common,ru	datetime				
deathday	Date of death	Date of death of the person	True	common,ru	pii	Дата смерти	Дата смерти человека	https://en.wikipedia.org/wiki/Death_anniversary	wikipedia
doi	Digital Object Identifier (DOI)	A digital object identifier (DOI) is a persistent identifier or handle used to identify objects uniquely, standardized by the International Organization for Standardization (ISO).	False	common	science	Цифровой идентификатор объекта (DOI)	Цифровой идентификатор объекта (англ. digital object identifier (DOI), дискретный объекта идентификатор (ДОИ)) — основной элемент системы ДОИ, предназначенной для обозначения объектов информационной деятельности.	https://en.wikipedia.org/wiki/Digital_object_identifier	wikipedia
email	Email (Electronic mail)	"Electronic mail (email or e-mail) is a method of exchanging messages (""mail"") between people using electronic devices. Email was thus conceived as the electronic (digital) version of, or counterpart to, mail, at a time when ""mail"" meant only physical mail (hence e- + mail)."	True	common,ru	common,pii	Электронная почта (email)	Электро́нная по́чта (англ. email, e-mail [iˈmeɪl], от англ. electronic mail) — технология и служба по пересылке и получению электронных сообщений (называемых «письма», «электронные письма» или «сообщения») между пользователями компьютерной сети (в том числе — Интернета).	https://en.wikipedia.org/wiki/Email	wikipedia
encompanyname	Company/business name in English	English written company/business/legal name of business entity	False	en	companies	Название компании на английском языке	Название компании написанное на английском языке		
endayofweek	Day of week (in English)	English names of the week days	False	en	datetime	День недели (на английском)	Название для недели на английском языке	https://en.wikipedia.org/wiki/Workweek_and_weekend	wikipedia
enmonth	Month name (English)	English name of the month	False	en	datetime	Название месяца (на английском)	Название месяца написанное на английском языке	https://en.wikipedia.org/wiki/Month	wikipedia
enmonthshort	Short name of month (English)	Abbreviated short English name/abbreviation of month	False	en	datetime	Месяц, краткое название (английский)	Краткое название месяца на английском языке	https://en.wikipedia.org/wiki/Month	wikipedia
eui48	MAC Address (EUI48) of the device	A media access control address (MAC address) is a unique identifier assigned to a network interface controller (NIC) for use as a network address in communications within a network segment.	True	common	internet,pii				
fedgrbs	Russian direct government budget receiver and distributor code	3 digits code of the Russian direct government budget receiver and distributor. Assigned to each government ministry, agency, service and some other budget distributor organizations	False	ru	government				
filename	Name of the file	File name with common notation like somefile.ext	False	common	common				
gender	Gender	Gender flag and/or any other identification value	True	common	pii				
geopoint	Geopoint	Geographic point as string with latitude and longitude	True	common	geo				
guid	GUID (Globally unique identifier)	A universally unique identifier (UUID) is a 128-bit label used for information in computer systems. The term globally unique identifier (GUID) is also used.	False	common	identifiers				
inn	INN (Russian tax identifier)	Russian organization/person tax identification number (INN) is unique for each person and organization.	False	ru	companies				
ipaddr	IPv4 or IPv6 address	Internet Protocol version 4 (IPv4) or Internet Protocol version 6 (IPv6) address	True	common	internet,pii				
ipsubnet	IPv4 or IPv6 subnet	Subnetwork of IPv4 or IPv6 addresses	True	common	internet				
